,Visitor,Visitor_PTS,Home,Home_PTS,VisitorWin,Visitor_GP,Visitor_W,Visitor_L,Visitor_MIN,Visitor_OffRtg,Visitor_DefRtg,Visitor_NetRtg,Visitor_AST%,Visitor_AST/TO,Visitor_AST,Visitor_OREB%,Visitor_DREB%,Visitor_REB%,Visitor_TOV%,Visitor_eFG%,Visitor_TS%,Visitor_PACE,Visitor_PIE,Visitor_POSS,Home_GP,Home_W,Home_L,Home_MIN,Home_OffRtg,Home_DefRtg,Home_NetRtg,Home_AST%,Home_AST/TO,Home_AST,Home_OREB%,Home_DREB%,Home_REB%,Home_TOV%,Home_eFG%,Home_TS%,Home_PACE,Home_PIE,Home_POSS
0,Philadelphia 76ers,118,Washington Wizards,111,1,82.0,54.0,28.0,3976.0,117.0,112.7,4.4,61.6,1.84,18.6,25.8,72.1,49.6,13.9,56.3,60.8,97.44,52.4,"8,072",82.0,35.0,47.0,3951.0,113.7,114.9,-1.2,60.3,1.8,18.5,27.3,72.4,50.5,14.2,55.0,58.5,99.16,50.4,"8,161"
1,Memphis Grizzlies,105,Utah Jazz,121,0,82.0,51.0,31.0,3956.0,114.7,110.7,4.0,59.6,1.91,18.2,30.2,71.1,50.7,13.3,54.0,57.0,101.5,51.9,"8,360",82.0,37.0,45.0,3961.0,115.3,116.0,-0.7,61.1,1.69,18.2,30.8,71.1,51.2,15.1,54.7,58.4,101.02,49.8,"8,329"
2,Atlanta Hawks,109,Toronto Raptors,139,0,82.0,41.0,41.0,3971.0,115.5,115.4,0.1,56.0,1.93,17.6,28.9,71.7,50.0,12.6,54.1,57.9,101.56,50.0,"8,407",82.0,41.0,41.0,3961.0,114.6,113.1,1.5,57.1,2.05,17.2,31.6,72.1,50.2,11.8,51.7,55.5,97.85,49.6,"8,076"
3,Detroit Pistons,108,Milwaukee Bucks,110,0,82.0,17.0,65.0,3961.0,109.9,117.8,-7.9,58.1,1.52,16.7,29.2,70.2,49.1,15.0,52.0,56.1,99.88,44.9,"8,231",82.0,58.0,24.0,3966.0,114.3,110.9,3.4,60.4,1.76,18.1,28.4,74.5,52.1,14.3,55.5,58.3,101.45,52.3,"8,389"
4,Houston Rockets,93,Los Angeles Clippers,95,0,82.0,22.0,60.0,3951.0,110.5,118.6,-8.1,55.1,1.38,16.0,34.4,72.9,53.0,16.2,51.6,55.4,99.74,45.7,"8,220",82.0,44.0,38.0,3966.0,114.0,113.6,0.5,58.1,1.68,17.5,27.3,73.1,50.5,14.3,55.1,58.8,98.84,49.8,"8,168"
5,Sacramento Kings,115,Charlotte Hornets,108,1,82.0,48.0,34.0,3966.0,118.6,116.0,2.6,62.6,2.02,19.3,26.5,73.1,49.9,13.3,57.2,60.8,100.99,51.1,"8,343",82.0,27.0,55.0,3966.0,108.4,114.7,-6.3,60.9,1.77,17.8,27.6,71.7,49.1,13.9,51.6,55.1,101.47,47.3,"8,390"
6,Indiana Pacers,109,Brooklyn Nets,116,0,82.0,35.0,47.0,3951.0,113.8,117.1,-3.3,64.3,1.81,18.9,28.5,68.5,48.2,14.6,54.5,58.1,101.68,48.2,"8,377",82.0,45.0,37.0,3946.0,114.6,113.5,1.1,61.6,1.86,18.9,23.4,68.9,47.2,13.9,56.2,59.8,98.77,51.0,"8,111"
7,Minnesota Timberwolves,98,San Antonio Spurs,107,1,82.0,42.0,40.0,3966.0,113.3,113.1,0.2,61.0,1.71,18.6,25.8,70.3,48.5,15.0,56.0,59.2,101.55,50.3,"8,383",82.0,22.0,60.0,3971.0,109.7,119.6,-9.9,63.2,1.78,18.7,29.9,70.9,49.5,14.8,52.5,55.4,102.07,45.2,"8,451"
8,Houston Rockets,109,Phoenix Suns,124,0,82.0,22.0,60.0,3951.0,110.5,118.6,-8.1,55.1,1.38,16.0,34.4,72.9,53.0,16.2,51.6,55.4,99.74,45.7,"8,220",82.0,45.0,37.0,3956.0,114.5,112.3,2.2,64.7,2.01,19.3,30.7,71.4,50.8,13.6,53.5,57.0,98.83,51.4,"8,141"
9,Denver Nuggets,110,Los Angeles Lakers,121,0,82.0,53.0,29.0,3951.0,116.8,113.5,3.3,66.3,1.99,20.5,28.9,72.7,51.4,14.7,57.3,60.1,98.74,52.5,"8,129",82.0,43.0,39.0,3976.0,113.9,113.2,0.7,58.9,1.8,17.9,26.9,72.7,50.5,13.7,54.2,58.2,101.92,51.1,"8,436"
10,New Orleans Pelicans,112,Los Angeles Clippers,91,0,82.0,42.0,40.0,3971.0,113.8,112.0,1.9,61.6,1.77,18.5,29.0,73.2,51.2,14.5,54.3,58.2,99.58,51.4,"8,239",82.0,44.0,38.0,3966.0,114.0,113.6,0.5,58.1,1.68,17.5,27.3,73.1,50.5,14.3,55.1,58.8,98.84,49.8,"8,168"
11,Golden State Warriors,114,Detroit Pistons,128,0,82.0,44.0,38.0,3966.0,115.1,113.4,1.7,69.1,1.83,20.4,27.7,71.9,50.2,15.8,57.1,60.0,102.54,51.0,"8,472",82.0,17.0,65.0,3961.0,109.9,117.8,-7.9,58.1,1.52,16.7,29.2,70.2,49.1,15.0,52.0,56.1,99.88,44.9,"8,231"
12,Orlando Magic,105,Dallas Mavericks,114,0,82.0,34.0,48.0,3956.0,111.3,113.7,-2.3,57.4,1.54,17.0,28.1,73.0,50.5,15.1,53.2,57.3,99.66,48.5,"8,205",82.0,38.0,44.0,3986.0,115.9,116.1,-0.2,57.3,1.88,17.4,22.6,71.7,47.1,12.4,56.5,59.9,97.21,48.7,"8,082"
13,New York Knicks,108,Cleveland Cavaliers,121,0,82.0,47.0,35.0,3991.0,117.0,114.2,2.8,54.6,1.77,16.6,31.8,72.7,52.1,13.1,54.1,57.7,97.75,50.9,"8,134",82.0,51.0,31.0,3976.0,115.5,109.9,5.6,60.0,1.87,18.6,27.3,71.5,49.6,13.7,55.6,59.0,96.27,53.1,"7,972"
14,Washington Wizards,94,Boston Celtics,112,1,82.0,35.0,47.0,3951.0,113.7,114.9,-1.2,60.3,1.8,18.5,27.3,72.4,50.5,14.2,55.0,58.5,99.16,50.4,"8,161",82.0,57.0,25.0,3996.0,117.3,110.6,6.7,63.2,2.0,19.1,25.5,74.6,50.6,13.3,56.6,60.0,99.15,53.4,"8,247"
15,Memphis Grizzlies,123,Utah Jazz,124,0,82.0,51.0,31.0,3956.0,114.7,110.7,4.0,59.6,1.91,18.2,30.2,71.1,50.7,13.3,54.0,57.0,101.5,51.9,"8,360",82.0,37.0,45.0,3961.0,115.3,116.0,-0.7,61.1,1.69,18.2,30.8,71.1,51.2,15.1,54.7,58.4,101.02,49.8,"8,329"
16,Miami Heat,113,Sacramento Kings,119,0,82.0,44.0,38.0,3961.0,112.3,112.8,-0.5,60.8,1.77,17.8,27.4,73.3,49.8,13.8,53.0,57.4,96.76,49.6,"7,991",82.0,48.0,34.0,3966.0,118.6,116.0,2.6,62.6,2.02,19.3,26.5,73.1,49.9,13.3,57.2,60.8,100.99,51.1,"8,343"
17,Atlanta Hawks,115,Milwaukee Bucks,123,0,82.0,41.0,41.0,3971.0,115.5,115.4,0.1,56.0,1.93,17.6,28.9,71.7,50.0,12.6,54.1,57.9,101.56,50.0,"8,407",82.0,58.0,24.0,3966.0,114.3,110.9,3.4,60.4,1.76,18.1,28.4,74.5,52.1,14.3,55.5,58.3,101.45,52.3,"8,389"
18,Oklahoma City Thunder,117,Dallas Mavericks,111,1,82.0,40.0,42.0,3971.0,114.2,113.2,1.0,56.7,1.87,17.2,28.9,69.3,48.7,12.7,53.1,57.0,101.94,49.8,"8,435",82.0,38.0,44.0,3986.0,115.9,116.1,-0.2,57.3,1.88,17.4,22.6,71.7,47.1,12.4,56.5,59.9,97.21,48.7,"8,082"
19,Golden State Warriors,113,Charlotte Hornets,120,0,82.0,44.0,38.0,3966.0,115.1,113.4,1.7,69.1,1.83,20.4,27.7,71.9,50.2,15.8,57.1,60.0,102.54,51.0,"8,472",82.0,27.0,55.0,3966.0,108.4,114.7,-6.3,60.9,1.77,17.8,27.6,71.7,49.1,13.9,51.6,55.1,101.47,47.3,"8,390"
20,Philadelphia 76ers,114,Chicago Bulls,109,1,82.0,54.0,28.0,3976.0,117.0,112.7,4.4,61.6,1.84,18.6,25.8,72.1,49.6,13.9,56.3,60.8,97.44,52.4,"8,072",82.0,40.0,42.0,3981.0,112.8,111.5,1.3,57.5,1.83,18.1,23.6,73.6,49.3,13.3,55.0,58.7,99.18,51.2,"8,225"
21,Indiana Pacers,125,Brooklyn Nets,116,1,82.0,35.0,47.0,3951.0,113.8,117.1,-3.3,64.3,1.81,18.9,28.5,68.5,48.2,14.6,54.5,58.1,101.68,48.2,"8,377",82.0,45.0,37.0,3946.0,114.6,113.5,1.1,61.6,1.86,18.9,23.4,68.9,47.2,13.9,56.2,59.8,98.77,51.0,"8,111"
22,Indiana Pacers,127,Washington Wizards,117,1,82.0,35.0,47.0,3951.0,113.8,117.1,-3.3,64.3,1.81,18.9,28.5,68.5,48.2,14.6,54.5,58.1,101.68,48.2,"8,377",82.0,35.0,47.0,3951.0,113.7,114.9,-1.2,60.3,1.8,18.5,27.3,72.4,50.5,14.2,55.0,58.5,99.16,50.4,"8,161"
23,Philadelphia 76ers,112,Toronto Raptors,90,0,82.0,54.0,28.0,3976.0,117.0,112.7,4.4,61.6,1.84,18.6,25.8,72.1,49.6,13.9,56.3,60.8,97.44,52.4,"8,072",82.0,41.0,41.0,3961.0,114.6,113.1,1.5,57.1,2.05,17.2,31.6,72.1,50.2,11.8,51.7,55.5,97.85,49.6,"8,076"
24,Chicago Bulls,124,San Antonio Spurs,129,0,82.0,40.0,42.0,3981.0,112.8,111.5,1.3,57.5,1.83,18.1,23.6,73.6,49.3,13.3,55.0,58.7,99.18,51.2,"8,225",82.0,22.0,60.0,3971.0,109.7,119.6,-9.9,63.2,1.78,18.7,29.9,70.9,49.5,14.8,52.5,55.4,102.07,45.2,"8,451"
25,Houston Rockets,111,Portland Trail Blazers,125,0,82.0,22.0,60.0,3951.0,110.5,118.6,-8.1,55.1,1.38,16.0,34.4,72.9,53.0,16.2,51.6,55.4,99.74,45.7,"8,220",82.0,33.0,49.0,3946.0,114.0,118.0,-4.0,59.7,1.67,17.8,26.4,70.9,48.6,14.5,54.9,58.9,99.25,47.4,"8,157"
26,New Orleans Pelicans,111,Phoenix Suns,124,0,82.0,42.0,40.0,3971.0,113.8,112.0,1.9,61.6,1.77,18.5,29.0,73.2,51.2,14.5,54.3,58.2,99.58,51.4,"8,239",82.0,45.0,37.0,3956.0,114.5,112.3,2.2,64.7,2.01,19.3,30.7,71.4,50.8,13.6,53.5,57.0,98.83,51.4,"8,141"
27,Charlotte Hornets,93,Orlando Magic,113,1,82.0,27.0,55.0,3966.0,108.4,114.7,-6.3,60.9,1.77,17.8,27.6,71.7,49.1,13.9,51.6,55.1,101.47,47.3,"8,390",82.0,34.0,48.0,3956.0,111.3,113.7,-2.3,57.4,1.54,17.0,28.1,73.0,50.5,15.1,53.2,57.3,99.66,48.5,"8,205"
28,Los Angeles Lakers,102,Minnesota Timberwolves,111,0,82.0,43.0,39.0,3976.0,113.9,113.2,0.7,58.9,1.8,17.9,26.9,72.7,50.5,13.7,54.2,58.2,101.92,51.1,"8,436",82.0,42.0,40.0,3966.0,113.3,113.1,0.2,61.0,1.71,18.6,25.8,70.3,48.5,15.0,56.0,59.2,101.55,50.3,"8,383"
29,New York Knicks,108,Milwaukee Bucks,119,0,82.0,47.0,35.0,3991.0,117.0,114.2,2.8,54.6,1.77,16.6,31.8,72.7,52.1,13.1,54.1,57.7,97.75,50.9,"8,134",82.0,58.0,24.0,3966.0,114.3,110.9,3.4,60.4,1.76,18.1,28.4,74.5,52.1,14.3,55.5,58.3,101.45,52.3,"8,389"
30,Atlanta Hawks,136,Detroit Pistons,112,1,82.0,41.0,41.0,3971.0,115.5,115.4,0.1,56.0,1.93,17.6,28.9,71.7,50.0,12.6,54.1,57.9,101.56,50.0,"8,407",82.0,17.0,65.0,3961.0,109.9,117.8,-7.9,58.1,1.52,16.7,29.2,70.2,49.1,15.0,52.0,56.1,99.88,44.9,"8,231"
31,Utah Jazz,101,Denver Nuggets,117,0,82.0,37.0,45.0,3961.0,115.3,116.0,-0.7,61.1,1.69,18.2,30.8,71.1,51.2,15.1,54.7,58.4,101.02,49.8,"8,329",82.0,53.0,29.0,3951.0,116.8,113.5,3.3,66.3,1.99,20.5,28.9,72.7,51.4,14.7,57.3,60.1,98.74,52.5,"8,129"
32,Cleveland Cavaliers,132,Boston Celtics,123,1,82.0,51.0,31.0,3976.0,115.5,109.9,5.6,60.0,1.87,18.6,27.3,71.5,49.6,13.7,55.6,59.0,96.27,53.1,"7,972",82.0,57.0,25.0,3996.0,117.3,110.6,6.7,63.2,2.0,19.1,25.5,74.6,50.6,13.3,56.6,60.0,99.15,53.4,"8,247"
33,Memphis Grizzlies,125,Sacramento Kings,110,1,82.0,51.0,31.0,3956.0,114.7,110.7,4.0,59.6,1.91,18.2,30.2,71.1,50.7,13.3,54.0,57.0,101.5,51.9,"8,360",82.0,48.0,34.0,3966.0,118.6,116.0,2.6,62.6,2.02,19.3,26.5,73.1,49.9,13.3,57.2,60.8,100.99,51.1,"8,343"
34,Los Angeles Clippers,110,Oklahoma City Thunder,118,0,82.0,44.0,38.0,3966.0,114.0,113.6,0.5,58.1,1.68,17.5,27.3,73.1,50.5,14.3,55.1,58.8,98.84,49.8,"8,168",82.0,40.0,42.0,3971.0,114.2,113.2,1.0,56.7,1.87,17.2,28.9,69.3,48.7,12.7,53.1,57.0,101.94,49.8,"8,435"
35,Miami Heat,110,Golden State Warriors,123,0,82.0,44.0,38.0,3961.0,112.3,112.8,-0.5,60.8,1.77,17.8,27.4,73.3,49.8,13.8,53.0,57.4,96.76,49.6,"7,991",82.0,44.0,38.0,3966.0,115.1,113.4,1.7,69.1,1.83,20.4,27.7,71.9,50.2,15.8,57.1,60.0,102.54,51.0,"8,472"
36,Dallas Mavericks,129,Brooklyn Nets,125,1,82.0,38.0,44.0,3986.0,115.9,116.1,-0.2,57.3,1.88,17.4,22.6,71.7,47.1,12.4,56.5,59.9,97.21,48.7,"8,082",82.0,45.0,37.0,3946.0,114.6,113.5,1.1,61.6,1.86,18.9,23.4,68.9,47.2,13.9,56.2,59.8,98.77,51.0,"8,111"
37,Houston Rockets,101,Utah Jazz,109,0,82.0,22.0,60.0,3951.0,110.5,118.6,-8.1,55.1,1.38,16.0,34.4,72.9,53.0,16.2,51.6,55.4,99.74,45.7,"8,220",82.0,37.0,45.0,3961.0,115.3,116.0,-0.7,61.1,1.69,18.2,30.8,71.1,51.2,15.1,54.7,58.4,101.02,49.8,"8,329"
38,Philadelphia 76ers,109,Toronto Raptors,119,0,82.0,54.0,28.0,3976.0,117.0,112.7,4.4,61.6,1.84,18.6,25.8,72.1,49.6,13.9,56.3,60.8,97.44,52.4,"8,072",82.0,41.0,41.0,3961.0,114.6,113.1,1.5,57.1,2.05,17.2,31.6,72.1,50.2,11.8,51.7,55.5,97.85,49.6,"8,076"
39,Miami Heat,119,Portland Trail Blazers,98,0,82.0,44.0,38.0,3961.0,112.3,112.8,-0.5,60.8,1.77,17.8,27.4,73.3,49.8,13.8,53.0,57.4,96.76,49.6,"7,991",82.0,33.0,49.0,3946.0,114.0,118.0,-4.0,59.7,1.67,17.8,26.4,70.9,48.6,14.5,54.9,58.9,99.25,47.4,"8,157"
40,Charlotte Hornets,131,New York Knicks,134,0,82.0,27.0,55.0,3966.0,108.4,114.7,-6.3,60.9,1.77,17.8,27.6,71.7,49.1,13.9,51.6,55.1,101.47,47.3,"8,390",82.0,47.0,35.0,3991.0,117.0,114.2,2.8,54.6,1.77,16.6,31.8,72.7,52.1,13.1,54.1,57.7,97.75,50.9,"8,134"
41,San Antonio Spurs,122,Minnesota Timberwolves,134,0,82.0,22.0,60.0,3971.0,109.7,119.6,-9.9,63.2,1.78,18.7,29.9,70.9,49.5,14.8,52.5,55.4,102.07,45.2,"8,451",82.0,42.0,40.0,3966.0,113.3,113.1,0.2,61.0,1.71,18.6,25.8,70.3,48.5,15.0,56.0,59.2,101.55,50.3,"8,383"
42,Brooklyn Nets,99,Milwaukee Bucks,110,1,82.0,45.0,37.0,3946.0,114.6,113.5,1.1,61.6,1.86,18.9,23.4,68.9,47.2,13.9,56.2,59.8,98.77,51.0,"8,111",82.0,58.0,24.0,3966.0,114.3,110.9,3.4,60.4,1.76,18.1,28.4,74.5,52.1,14.3,55.5,58.3,101.45,52.3,"8,389"
43,Atlanta Hawks,118,Detroit Pistons,113,1,82.0,41.0,41.0,3971.0,115.5,115.4,0.1,56.0,1.93,17.6,28.9,71.7,50.0,12.6,54.1,57.9,101.56,50.0,"8,407",82.0,17.0,65.0,3961.0,109.9,117.8,-7.9,58.1,1.52,16.7,29.2,70.2,49.1,15.0,52.0,56.1,99.88,44.9,"8,231"
44,Los Angeles Lakers,99,Denver Nuggets,110,1,82.0,43.0,39.0,3976.0,113.9,113.2,0.7,58.9,1.8,17.9,26.9,72.7,50.5,13.7,54.2,58.2,101.92,51.1,"8,436",82.0,53.0,29.0,3951.0,116.8,113.5,3.3,66.3,1.99,20.5,28.9,72.7,51.4,14.7,57.3,60.1,98.74,52.5,"8,129"
45,Orlando Magic,92,Cleveland Cavaliers,103,1,82.0,34.0,48.0,3956.0,111.3,113.7,-2.3,57.4,1.54,17.0,28.1,73.0,50.5,15.1,53.2,57.3,99.66,48.5,"8,205",82.0,51.0,31.0,3976.0,115.5,109.9,5.6,60.0,1.87,18.6,27.3,71.5,49.6,13.7,55.6,59.0,96.27,53.1,"7,972"
46,Indiana Pacers,109,Chicago Bulls,124,0,82.0,35.0,47.0,3951.0,113.8,117.1,-3.3,64.3,1.81,18.9,28.5,68.5,48.2,14.6,54.5,58.1,101.68,48.2,"8,377",82.0,40.0,42.0,3981.0,112.8,111.5,1.3,57.5,1.83,18.1,23.6,73.6,49.3,13.3,55.0,58.7,99.18,51.2,"8,225"
47,Detroit Pistons,99,Washington Wizards,120,1,82.0,17.0,65.0,3961.0,109.9,117.8,-7.9,58.1,1.52,16.7,29.2,70.2,49.1,15.0,52.0,56.1,99.88,44.9,"8,231",82.0,35.0,47.0,3951.0,113.7,114.9,-1.2,60.3,1.8,18.5,27.3,72.4,50.5,14.2,55.0,58.5,99.16,50.4,"8,161"
48,Golden State Warriors,105,Phoenix Suns,134,0,82.0,44.0,38.0,3966.0,115.1,113.4,1.7,69.1,1.83,20.4,27.7,71.9,50.2,15.8,57.1,60.0,102.54,51.0,"8,472",82.0,45.0,37.0,3956.0,114.5,112.3,2.2,64.7,2.01,19.3,30.7,71.4,50.8,13.6,53.5,57.0,98.83,51.4,"8,141"
49,Los Angeles Clippers,94,Oklahoma City Thunder,108,1,82.0,44.0,38.0,3966.0,114.0,113.6,0.5,58.1,1.68,17.5,27.3,73.1,50.5,14.3,55.1,58.8,98.84,49.8,"8,168",82.0,40.0,42.0,3971.0,114.2,113.2,1.0,56.7,1.87,17.2,28.9,69.3,48.7,12.7,53.1,57.0,101.94,49.8,"8,435"
50,Dallas Mavericks,111,New Orleans Pelicans,113,0,82.0,38.0,44.0,3986.0,115.9,116.1,-0.2,57.3,1.88,17.4,22.6,71.7,47.1,12.4,56.5,59.9,97.21,48.7,"8,082",82.0,42.0,40.0,3971.0,113.8,112.0,1.9,61.6,1.77,18.5,29.0,73.2,51.2,14.5,54.3,58.2,99.58,51.4,"8,239"
51,Denver Nuggets,110,Portland Trail Blazers,135,0,82.0,53.0,29.0,3951.0,116.8,113.5,3.3,66.3,1.99,20.5,28.9,72.7,51.4,14.7,57.3,60.1,98.74,52.5,"8,129",82.0,33.0,49.0,3946.0,114.0,118.0,-4.0,59.7,1.67,17.8,26.4,70.9,48.6,14.5,54.9,58.9,99.25,47.4,"8,157"
52,Indiana Pacers,106,Philadelphia 76ers,120,0,82.0,35.0,47.0,3951.0,113.8,117.1,-3.3,64.3,1.81,18.9,28.5,68.5,48.2,14.6,54.5,58.1,101.68,48.2,"8,377",82.0,54.0,28.0,3976.0,117.0,112.7,4.4,61.6,1.84,18.6,25.8,72.1,49.6,13.9,56.3,60.8,97.44,52.4,"8,072"
53,Orlando Magic,102,New York Knicks,115,0,82.0,34.0,48.0,3956.0,111.3,113.7,-2.3,57.4,1.54,17.0,28.1,73.0,50.5,15.1,53.2,57.3,99.66,48.5,"8,205",82.0,47.0,35.0,3991.0,117.0,114.2,2.8,54.6,1.77,16.6,31.8,72.7,52.1,13.1,54.1,57.7,97.75,50.9,"8,134"
54,San Antonio Spurs,115,Minnesota Timberwolves,106,1,82.0,22.0,60.0,3971.0,109.7,119.6,-9.9,63.2,1.78,18.7,29.9,70.9,49.5,14.8,52.5,55.4,102.07,45.2,"8,451",82.0,42.0,40.0,3966.0,113.3,113.1,0.2,61.0,1.71,18.6,25.8,70.3,48.5,15.0,56.0,59.2,101.55,50.3,"8,383"
55,Toronto Raptors,98,Miami Heat,90,1,82.0,41.0,41.0,3961.0,114.6,113.1,1.5,57.1,2.05,17.2,31.6,72.1,50.2,11.8,51.7,55.5,97.85,49.6,"8,076",82.0,44.0,38.0,3961.0,112.3,112.8,-0.5,60.8,1.77,17.8,27.4,73.3,49.8,13.8,53.0,57.4,96.76,49.6,"7,991"
56,Brooklyn Nets,124,Memphis Grizzlies,134,0,82.0,45.0,37.0,3946.0,114.6,113.5,1.1,61.6,1.86,18.9,23.4,68.9,47.2,13.9,56.2,59.8,98.77,51.0,"8,111",82.0,51.0,31.0,3956.0,114.7,110.7,4.0,59.6,1.91,18.2,30.2,71.1,50.7,13.3,54.0,57.0,101.5,51.9,"8,360"
57,Utah Jazz,108,Houston Rockets,114,0,82.0,37.0,45.0,3961.0,115.3,116.0,-0.7,61.1,1.69,18.2,30.8,71.1,51.2,15.1,54.7,58.4,101.02,49.8,"8,329",82.0,22.0,60.0,3951.0,110.5,118.6,-8.1,55.1,1.38,16.0,34.4,72.9,53.0,16.2,51.6,55.4,99.74,45.7,"8,220"
58,Boston Celtics,102,Chicago Bulls,120,0,82.0,57.0,25.0,3996.0,117.3,110.6,6.7,63.2,2.0,19.1,25.5,74.6,50.6,13.3,56.6,60.0,99.15,53.4,"8,247",82.0,40.0,42.0,3981.0,112.8,111.5,1.3,57.5,1.83,18.1,23.6,73.6,49.3,13.3,55.0,58.7,99.18,51.2,"8,225"
59,Minnesota Timberwolves,116,Oklahoma City Thunder,106,1,82.0,42.0,40.0,3966.0,113.3,113.1,0.2,61.0,1.71,18.6,25.8,70.3,48.5,15.0,56.0,59.2,101.55,50.3,"8,383",82.0,40.0,42.0,3971.0,114.2,113.2,1.0,56.7,1.87,17.2,28.9,69.3,48.7,12.7,53.1,57.0,101.94,49.8,"8,435"
60,Utah Jazz,122,New Orleans Pelicans,121,1,82.0,37.0,45.0,3961.0,115.3,116.0,-0.7,61.1,1.69,18.2,30.8,71.1,51.2,15.1,54.7,58.4,101.02,49.8,"8,329",82.0,42.0,40.0,3971.0,113.8,112.0,1.9,61.6,1.77,18.5,29.0,73.2,51.2,14.5,54.3,58.2,99.58,51.4,"8,239"
61,Portland Trail Blazers,106,Los Angeles Lakers,104,1,82.0,33.0,49.0,3946.0,114.0,118.0,-4.0,59.7,1.67,17.8,26.4,70.9,48.6,14.5,54.9,58.9,99.25,47.4,"8,157",82.0,43.0,39.0,3976.0,113.9,113.2,0.7,58.9,1.8,17.9,26.9,72.7,50.5,13.7,54.2,58.2,101.92,51.1,"8,436"
62,Phoenix Suns,112,Los Angeles Clippers,95,0,82.0,45.0,37.0,3956.0,114.5,112.3,2.2,64.7,2.01,19.3,30.7,71.4,50.8,13.6,53.5,57.0,98.83,51.4,"8,141",82.0,44.0,38.0,3966.0,114.0,113.6,0.5,58.1,1.68,17.5,27.3,73.1,50.5,14.3,55.1,58.8,98.84,49.8,"8,168"
63,Sacramento Kings,125,Golden State Warriors,130,0,82.0,48.0,34.0,3966.0,118.6,116.0,2.6,62.6,2.02,19.3,26.5,73.1,49.9,13.3,57.2,60.8,100.99,51.1,"8,343",82.0,44.0,38.0,3966.0,115.1,113.4,1.7,69.1,1.83,20.4,27.7,71.9,50.2,15.8,57.1,60.0,102.54,51.0,"8,472"
64,Washington Wizards,107,Cleveland Cavaliers,117,0,82.0,35.0,47.0,3951.0,113.7,114.9,-1.2,60.3,1.8,18.5,27.3,72.4,50.5,14.2,55.0,58.5,99.16,50.4,"8,161",82.0,51.0,31.0,3976.0,115.5,109.9,5.6,60.0,1.87,18.6,27.3,71.5,49.6,13.7,55.6,59.0,96.27,53.1,"7,972"
65,Charlotte Hornets,126,Atlanta Hawks,109,1,82.0,27.0,55.0,3966.0,108.4,114.7,-6.3,60.9,1.77,17.8,27.6,71.7,49.1,13.9,51.6,55.1,101.47,47.3,"8,390",82.0,41.0,41.0,3971.0,115.5,115.4,0.1,56.0,1.93,17.6,28.9,71.7,50.0,12.6,54.1,57.9,101.56,50.0,"8,407"
66,Los Angeles Clippers,111,Sacramento Kings,109,1,82.0,44.0,38.0,3966.0,114.0,113.6,0.5,58.1,1.68,17.5,27.3,73.1,50.5,14.3,55.1,58.8,98.84,49.8,"8,168",82.0,48.0,34.0,3966.0,118.6,116.0,2.6,62.6,2.02,19.3,26.5,73.1,49.9,13.3,57.2,60.8,100.99,51.1,"8,343"
67,San Antonio Spurs,114,Philadelphia 76ers,105,1,82.0,22.0,60.0,3971.0,109.7,119.6,-9.9,63.2,1.78,18.7,29.9,70.9,49.5,14.8,52.5,55.4,102.07,45.2,"8,451",82.0,54.0,28.0,3976.0,117.0,112.7,4.4,61.6,1.84,18.6,25.8,72.1,49.6,13.9,56.3,60.8,97.44,52.4,"8,072"
68,Boston Celtics,126,Orlando Magic,120,1,82.0,57.0,25.0,3996.0,117.3,110.6,6.7,63.2,2.0,19.1,25.5,74.6,50.6,13.3,56.6,60.0,99.15,53.4,"8,247",82.0,34.0,48.0,3956.0,111.3,113.7,-2.3,57.4,1.54,17.0,28.1,73.0,50.5,15.1,53.2,57.3,99.66,48.5,"8,205"
69,Houston Rockets,105,Milwaukee Bucks,125,0,82.0,22.0,60.0,3951.0,110.5,118.6,-8.1,55.1,1.38,16.0,34.4,72.9,53.0,16.2,51.6,55.4,99.74,45.7,"8,220",82.0,58.0,24.0,3966.0,114.3,110.9,3.4,60.4,1.76,18.1,28.4,74.5,52.1,14.3,55.5,58.3,101.45,52.3,"8,389"
70,Toronto Raptors,109,Miami Heat,112,0,82.0,41.0,41.0,3961.0,114.6,113.1,1.5,57.1,2.05,17.2,31.6,72.1,50.2,11.8,51.7,55.5,97.85,49.6,"8,076",82.0,44.0,38.0,3961.0,112.3,112.8,-0.5,60.8,1.77,17.8,27.4,73.3,49.8,13.8,53.0,57.4,96.76,49.6,"7,991"
71,Detroit Pistons,115,Indiana Pacers,124,0,82.0,17.0,65.0,3961.0,109.9,117.8,-7.9,58.1,1.52,16.7,29.2,70.2,49.1,15.0,52.0,56.1,99.88,44.9,"8,231",82.0,35.0,47.0,3951.0,113.8,117.1,-3.3,64.3,1.81,18.9,28.5,68.5,48.2,14.6,54.5,58.1,101.68,48.2,"8,377"
72,Oklahoma City Thunder,117,Denver Nuggets,122,0,82.0,40.0,42.0,3971.0,114.2,113.2,1.0,56.7,1.87,17.2,28.9,69.3,48.7,12.7,53.1,57.0,101.94,49.8,"8,435",82.0,53.0,29.0,3951.0,116.8,113.5,3.3,66.3,1.99,20.5,28.9,72.7,51.4,14.7,57.3,60.1,98.74,52.5,"8,129"
